RDA1 RDA2
dip_bal_071 3.1267956587657 5.57544845047493
dip_bal_072 4.31980424792906 3.73349330790714
dip_bal_073 3.55300549242744 3.91669757769207
dip_bal_074 4.21665509031138 4.29443753825005
dip_bal_077 3.91540933512633 3.97705555548711
dip_bal_078 3.8006043339237 3.84709961895132
dip_bal_079 3.36372300911929 3.50241940065588
dip_bal_080 3.19184087882957 4.22688799041091
dip_bal_081 3.84836036430317 4.25485908346722
dip_bal_082 2.41287449023887 2.3881583677599
dip_bal_083 3.06511095143596 3.81075289534559
dip_bal_084 3.2052803586939 4.61753980655734
dip_bal_085 2.98821274576282 4.35610429389303
dip_bal_086 3.72359478734182 4.73126507018853
dip_bal_087 3.1220777991944 4.5860267224575
dip_bal_089 3.8924590579369 4.11692830780733
dip_bal_091 2.84499770272505 3.2107853528464
dip_bal_094 3.42392207226473 4.99343305813213
dip_bal_095 3.51992508319693 4.77041739541468
dip_bal_096 2.66170092639917 4.68948250354912
dip_bal_097 2.90755252833408 3.86936860855557
dip_bal_098 3.19004181091177 4.96894451034325
dip_bal_099 3.367658727025 4.87363169342864
dip_bal_100 3.36903694792564 3.99224796040069
dip_bal_101 2.91137408065226 4.58639329271757
dip_bal_102 3.45442984037716 4.6329331901371
dip_bal_103 2.02151403811333 4.63081760631802
dip_bal_105 3.43117318842817 3.96334807059297
dip_bal_107 3.42383244682236 4.50271308012411
dip_bal_108 3.41061512345633 5.289941733815
dip_bal_109 3.51094067717295 4.15751750909044
dip_bal_110 4.90238922587646 3.59570710044482
dip_bal_111 3.96599390386115 2.4854425535994
dip_bal_112 2.34694506623031 2.51625395777551
dip_bal_113 2.12256900671734 2.12472119105947
dip_bal_114 2.65798902580281 3.31498956550873
dip_bal_115 4.12759336150188 3.48882206180494
dip_bal_116 3.83280782697163 4.20852925644591
dip_bal_117 3.04830924386428 2.95004978736257
dip_bal_118 2.95047672804237 3.39046034539312
dip_bal_119 3.40493526629299 3.83701071790425
dip_bal_120 2.80595505935934 4.74213610931494
dip_fra_003 -1.56564208619749 -3.06456805935654
dip_fra_005 0.345308955164298 -1.47578002416424
dip_fra_007 -0.185394433045068 -0.762377924118697
dip_fra_009 -0.200581031310892 -0.881525876989066
dip_fra_014 -0.10692608606856 -1.63833554536806
dip_fra_021 1.77846731671416 -3.73927521210478
dip_fra_022 1.13361923032924 -2.24155431983152
dip_fra_023 1.79791602707144 -3.54979119880893
dip_fra_024 1.44680908105061 -3.10366654668615
dip_fra_025 1.35468854832815 -2.95642606930701
dip_fra_026 1.98448198266534 -1.79340853611
dip_fra_027 1.58805352707325 -3.76135002662068
dip_fra_028 1.24619021532615 -4.69164499103729
dip_fra_029 1.82306797799186 -1.28891412167912
dip_fra_030 2.0497092905943 -2.63048801771737
dip_fra_031 1.9185590881209 -4.71354225181533
dip_fra_032 2.48602465870617 -3.05749455800458
dip_fra_033 1.86007314155478 -2.1027791919109
dip_fra_034 1.81828896125772 -2.97231574789396
dip_fra_035 1.86056901233172 -2.23657543259426
dip_fra_036 1.24361602997282 -3.56728821469696
dip_fra_037 1.56369339919526 -3.939286660724
dip_fra_038 1.32610847920604 -4.00967921384444
dip_fra_039 2.14995167245301 -2.73488433763263
dip_fra_040 1.50081964930402 -4.03528779324012
dip_fra_041 1.53249248002732 -3.24163934093731
dip_fra_042 1.886716492116 -4.12980920040965
dip_fra_043 1.96607068689983 -4.21907902672204
dip_fra_044 1.42191386020372 -4.14227013852399
dip_fra_045 2.2174397954244 -3.59000441933997
dip_fra_046 2.1002262070507 -4.1335819376252
dip_fra_047 2.09223247171027 -2.5590901867603
dip_fra_048 1.61881430264564 -4.15771351360215
dip_fra_050 1.59305529859538 -3.55770679400529
dip_fra_051 1.63440704984646 -4.24694486998705
dip_fra_052 1.49865041693922 -3.71830025512199
dip_fra_053 2.33181353331783 -3.58589858173949
dip_fra_054 1.2181904559237 -4.15053617279129
dip_fra_055 1.49566546718134 -4.0183234502357
dip_fra_056 1.53488897780592 -3.90901096004639
dip_fra_057 2.22674396561268 -4.142474333586
dip_fra_058 1.41047088032683 -3.32360922910725
dip_fra_059 1.94161801331432 -3.80224869957613
dip_fra_060 1.76135384568104 -3.76822109083784
dip_fra_061 1.69719942182966 -4.33604448264681
dip_fra_062 3.23873822380929 -3.50578213129533
dip_fra_063 2.0076982963124 -3.44849243056507
dip_fra_064 1.0641769337787 -4.25581381864642
dip_fra_068 -3.37971320031663 -3.67312336279347
dip_fra_069 -4.04924341061073 -5.23506503511896
dip_fra_070 -4.10316539845459 -4.65339965511531
dip_fra_071 -3.19073711713746 -3.45932608318887
dip_fra_072 -3.34457383305006 -3.34400433616068
dip_fra_073 -3.30429306571048 -3.40104935691134
dip_fra_076 -4.09666276614716 -5.03675456364158
dip_fra_077 -3.5626513524898 -4.79113656236529
dip_fra_078 -3.3003504879654 -4.31210993875813
dip_fra_079 -4.30481540515052 -4.72944159780027
dip_fra_080 -3.94049533064446 -4.29497783946447
dip_fra_081 -4.41451553555661 -4.7364915647067
dip_fra_082 -4.66704161315028 -5.23145814324028
dip_fra_083 -3.03521806834853 -3.22307561372222
dip_fra_084 -4.07153417180781 -4.71991547699196
dip_fra_086 -4.4599411595088 -4.90154891316856
dip_fra_087 -4.01316412720266 -5.003600965389
dip_fra_088 -4.69441824376357 -3.82542350998507
dip_fra_089 -4.16227413044471 -4.22230212545262
dip_fra_090 -5.07869634542365 -4.49057490708164
dip_fra_091 -4.1021766910924 -4.20838534287297
dip_fra_093 -4.59563916644636 -4.06334570787959
dip_fra_094 -3.84236406871279 -4.3051670072738
dip_fra_095 -5.05719496874613 -5.34153810444749
dip_fra_096 -4.16295522388065 -4.99814210047522
dip_fra_097 -4.04173092982156 -3.65423443108087
dip_fra_098 -4.28944319779374 -4.52586082900552
dip_fra_099 -3.84525985884176 -3.91271069520147
dip_fra_100 -4.16330340870172 -4.77663651932607
dip_spaAL_003 -1.68108442759786 1.19160066390014
dip_spaAL_006 -1.1041726561059 1.77883656599818
dip_spaAL_008 -2.21906128144129 1.11036485662666
