labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min
dip_bal_084	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.129442	0.056107	0.029303	0.230364	0.064083	0.027841
dip_bal_085	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.129442	0.056107	0.029303	0.230364	0.064083	0.027841
dip_bal_086	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.129442	0.056107	0.029303	0.230364	0.064083	0.027841
dip_bal_087	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.131001	0.056215	0.02927	0.377124	0.105876	0.030726
dip_bal_089	38.3201293945312	37.4745828803928	36.8063163757324	38.3198699951172	37.4708501516174	36.8062324523926	38.3201293945312	37.5573264483748	36.8446083068848	38.3201293945312	37.5539141687854	36.8438301086426	29.0635013580322	19.3223179537674	13.0586013793945	24.2933712005615	17.5367217639397	13.3666725158691	0.133778	0.059049	0.029001	0.4043	0.11611	0.030937
dip_bal_091	38.3005218505859	37.4469542667784	36.7190704345703	38.3169441223145	37.4861852854148	36.6473770141602	38.3005218505859	37.5342520352068	36.8119239807129	38.3005218505859	37.5315357734417	36.8106346130371	29.1571483612061	19.3506102205693	13.1514663696289	24.3459701538086	17.5053087842875	13.3850536346436	0.135195	0.059937	0.028582	0.304376	0.175774	0.083229
dip_bal_094	38.3656349182129	37.5038724000427	36.8252449035645	38.3623886108398	37.5010200295868	36.8251419067383	38.3282470703125	37.5772691923996	36.8259162902832	38.3282470703125	37.5745216786176	36.8256416320801	29.1369075775146	19.3111038399839	12.9307994842529	24.3047771453857	17.5867440947171	13.3466367721558	0.121124	0.056692	0.029416	0.204934	0.063074	0.028035
dip_bal_095	38.2876129150391	37.4284568983933	36.748893737793	38.2855529785156	37.4398253868366	36.6200790405273	38.2064056396484	37.5056685743661	36.8454513549805	38.2086715698242	37.5054810732261	36.8454513549805	28.8677082061768	19.3885823830791	12.9696578979492	24.2730503082275	17.4640235407599	13.2093172073364	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_096	38.2876129150391	37.4284568983933	36.748893737793	38.2855529785156	37.4398253868366	36.6200790405273	38.2064056396484	37.5056685743661	36.8454513549805	38.2086715698242	37.5054810732261	36.8454513549805	28.8677082061768	19.3885823830791	12.9696578979492	24.2730503082275	17.4640235407599	13.2093172073364	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_097	38.1757125854492	37.4099067052205	36.7555809020996	38.2443885803223	37.4099798586177	36.6232643127441	38.1342735290527	37.4790170603785	36.8585586547852	38.1342735290527	37.4781416531267	36.8564682006836	28.928674697876	19.4404400244526	13.011137008667	24.3448104858398	17.5230126298707	13.2312250137329	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_098	38.1757125854492	37.4099067052205	36.7555809020996	38.2443885803223	37.4099798586177	36.6232643127441	38.1342735290527	37.4790170603785	36.8585586547852	38.1342735290527	37.4781416531267	36.8564682006836	28.928674697876	19.4404400244526	13.011137008667	24.3448104858398	17.5230126298707	13.2312250137329	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_099	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_100	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_101	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_102	38.3752784729004	37.5052405280628	36.7654190063477	38.3712959289551	37.5134083320355	36.6517524719238	38.3328018188477	37.5784799312723	36.8172874450684	38.3328018188477	37.5778629697602	36.8146362304688	28.8027687072754	19.2655842852318	12.8487672805786	24.0950756072998	17.4267384101605	13.2035360336304	0.129442	0.056107	0.029303	0.230364	0.064083	0.027841
dip_bal_103	38.3752784729004	37.5052405280628	36.7654190063477	38.3712959289551	37.5134083320355	36.6517524719238	38.3328018188477	37.5784799312723	36.8172874450684	38.3328018188477	37.5778629697602	36.8146362304688	28.8027687072754	19.2655842852318	12.8487672805786	24.0950756072998	17.4267384101605	13.2035360336304	0.129442	0.056107	0.029303	0.230364	0.064083	0.027841
dip_bal_105	38.3201293945312	37.4745828803928	36.8063163757324	38.3198699951172	37.4708501516174	36.8062324523926	38.3201293945312	37.5573264483748	36.8446083068848	38.3201293945312	37.5539141687854	36.8438301086426	29.0635013580322	19.3223179537674	13.0586013793945	24.2933712005615	17.5367217639397	13.3666725158691	0.133778	0.059049	0.029001	0.4043	0.11611	0.030937
