INDIVIDUALS	STRATA
dip_spaS_080	Cabo de Gata Níjar
dip_spaS_093	Cabo de Gata Níjar
dip_spaS_094	Cabo de Gata Níjar
dip_spaS_095	Cabo de Gata Níjar
dip_spaS_096	Cabo de Gata Níjar
dip_spaS_097	Cabo de Gata Níjar
dip_spaS_101	Cabo de Gata Níjar
dip_spaS_102	Cabo de Gata Níjar
dip_spaS_110	Cabo de Gata Níjar
dip_spaS_111	Cabo de Gata Níjar
dip_spaS_112	Cabo de Gata Níjar
dip_spaS_113	Cabo de Gata Níjar
dip_spaS_114	Cabo de Gata Níjar
dip_spaS_115	Cabo de Gata Níjar
dip_spaS_116	Cabo de Gata Níjar
dip_spaS_117	Cabo de Gata Níjar
dip_spaS_118	Cabo de Gata Níjar
dip_spaS_119	Cabo de Gata Níjar
