labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min
mul_bal_042	mul	38.1883964538574	37.3621952122655	36.6734428405762	38.1883964538574	37.3616272909888	36.6339492797852	38.1371269226074	37.418559186212	36.6734428405762	38.1371269226074	37.4178860894565	36.6357917785645	29.1734409332275	19.5481069115387	13.0560207366943	27.6519813537598	19.2992244391606	13.2022256851196	0.150777	0.054803	0.027338	0.442963	0.159963	0.033265
mul_bal_045	mul	38.4075469970703	37.5293368197036	36.8279685974121	38.4075469970703	37.5273945221956	36.8266334533691	38.3569030761719	37.5962777499495	36.8279685974121	38.3569030761719	37.5928341657266	36.8266525268555	29.1949367523193	19.2841531408244	12.6574373245239	27.3009204864502	19.2067519023501	13.2550849914551	0.12495	0.057235	0.02909	0.191684	0.062347	0.027999
mul_bal_046	mul	38.2637825012207	37.4045583242658	36.7029991149902	38.2637825012207	37.4029407172367	36.6410179138184	38.2637825012207	37.4721034609038	36.7646827697754	38.2637825012207	37.4693913426892	36.7364196777344	29.3708915710449	19.5506069906827	13.1431665420532	27.8200092315674	19.4020778853318	13.2391986846924	0.155565	0.057688	0.028702	0.207151	0.058314	0.027847
mul_bal_050	mul	38.1088485717773	37.4008884539549	36.8500099182129	38.1088485717773	37.3996683619488	36.8497619628906	38.1088485717773	37.4465150767359	36.9237442016602	38.1088485717773	37.4446378685962	36.9232025146484	29.2563934326172	19.4967321417798	12.7520427703857	27.5685844421387	19.3136817142881	13.2439403533936	0.119766	0.054191	0.029126	0.18854	0.056845	0.027747
mul_bal_053	mul	38.1974487304688	37.3664510880394	36.6721992492676	38.1974487304688	37.3659250928068	36.615062713623	38.149715423584	37.4245452617777	36.6721992492676	38.149715423584	37.4240293305496	36.6185874938965	29.1923027038574	19.5316919951603	12.9864902496338	27.6679706573486	19.29172838803	13.1451997756958	0.147693	0.054746	0.027563	0.214	0.057063	0.027359
mul_bal_057	mul	38.3069229125977	37.4243597052563	36.7062187194824	38.3145866394043	37.4262634090994	36.677131652832	38.3069229125977	37.495405552305	36.8173179626465	38.3069229125977	37.4898087424793	36.7930793762207	29.1742916107178	19.3782481352488	13.1196393966675	27.5890998840332	19.145818289395	13.4121646881104	0.136772	0.060153	0.028482	0.285335	0.08088	0.027238
mul_bal_059	mul	38.1605911254883	37.4270314402964	36.8785400390625	38.1605911254883	37.4259769806917	36.8769874572754	38.1605911254883	37.4766554207637	36.9072418212891	38.1605911254883	37.4747974790376	36.9063835144043	29.4268989562988	19.481984442678	12.5860109329224	27.6594009399414	19.3868653659163	13.2094297409058	0.122646	0.054577	0.029137	0.416565	0.122053	0.031296
mul_bal_061	mul	38.3201293945312	37.4745828803928	36.8063163757324	38.3201293945312	37.4717833338113	36.8062324523926	38.3201293945312	37.5487704836089	36.8446083068848	38.3201293945312	37.5442119993013	36.8377342224121	29.0635013580322	19.3223179537674	13.0586013793945	27.3773307800293	19.1118894577026	13.3666725158691	0.124108	0.057226	0.02914	0.198332	0.065068	0.028071
mul_bal_066	mul	38.217586517334	37.3860216359983	36.6950798034668	38.217586517334	37.3843481151537	36.6388511657715	38.1845932006836	37.4488611418625	36.7042350769043	38.1845932006836	37.4464938196643	36.6533050537109	29.2399787902832	19.5235242021495	12.8144454956055	27.7644805908203	19.3292028558665	13.0970020294189	0.155054	0.05516	0.027447	0.435962	0.125536	0.02966
mul_bal_067	mul	38.3876075744629	37.5168507565027	36.8008880615234	38.3876075744629	37.5162406382694	36.6759338378906	38.3352241516113	37.5849457050192	36.8173675537109	38.3352241516113	37.5818979636006	36.814208984375	28.8882389068604	19.2714994337367	12.8038272857666	27.2607536315918	19.0324813185067	13.2342309951782	0.129442	0.056107	0.029303	0.230364	0.064083	0.027841
mul_bal_069	mul	38.3656349182129	37.5038724000427	36.8252449035645	38.3656349182129	37.5017331222008	36.8251419067383	38.3420219421387	37.5749674040696	36.8259162902832	38.3420219421387	37.5712906234566	36.8256416320801	29.1369075775146	19.3111038399839	12.9307994842529	27.3112335205078	19.1609879197745	13.3466367721558	0.124108	0.057226	0.02914	0.198332	0.065068	0.028071
mul_bal_074	mul	38.2532386779785	37.3925949951698	36.7035446166992	38.2532386779785	37.4062020556376	36.4997596740723	38.2532386779785	37.457584223254	36.7524147033691	38.2532386779785	37.4559509277344	36.7273979187012	29.3531665802002	19.5566901667365	13.2141675949097	27.7820644378662	19.3776141594196	13.2791185379028	0.157443	0.05773	0.028829	0.311723	0.073168	0.026776
mul_bal_075	mul	38.3656349182129	37.5038724000427	36.8252449035645	38.3656349182129	37.5017331222008	36.8251419067383	38.3420219421387	37.5749674040696	36.8259162902832	38.3420219421387	37.5712906234566	36.8256416320801	29.1369075775146	19.3111038399839	12.9307994842529	27.3112335205078	19.1609879197745	13.3466367721558	0.124108	0.057226	0.02914	0.198332	0.065068	0.028071
